disease,symptom
卵巢纤维瘤病,女性性早熟
卵巢纤维瘤病,卵巢性闭经
粗制棉子油中毒,食欲不振
粗制棉子油中毒,头昏
粗制棉子油中毒,四肢麻木
粗制棉子油中毒,嗜睡
粗制棉子油中毒,烦躁不安
迷路窗破裂,耳鸣
迷路窗破裂,耳聋
迷路窗破裂,恶心与呕吐
迷路窗破裂,眩晕
弥漫性血管内凝血,休克
弥漫性血管内凝血,微血栓形成
弥漫性血管内凝血,血管内凝血
弥漫性血管内凝血,耳壳的干性坏死
弥漫性血管内凝血,血液粘滞度增高
弥漫性外耳道炎,易哭
弥漫性外耳道炎,耳溢液
弥漫性外耳道炎,耳痛
弥漫性外耳道炎,耳鸣
弥漫性外耳道炎,听力减退
弥漫性恶性间皮瘤,胸腔积液
弥漫性恶性间皮瘤,胸痛
弥漫性恶性间皮瘤,呼吸异常
弥漫性恶性间皮瘤,咳嗽
弥漫性恶性间皮瘤,发热
弥漫型间皮瘤,胸腔积液
弥漫型间皮瘤,胸痛
弥漫型间皮瘤,咳嗽
弥漫型间皮瘤,发热
弥漫型间皮瘤,低血糖症
镁缺乏症,低镁血症
镁缺乏症,心律失常
镁缺乏症,心悸
镁缺乏症,恶心与呕吐
镁缺乏症,感觉障碍
镁过多症,高镁血症
镁过多症,肌性肌无力
镁过多症,感觉障碍
镁过多症,步态异常
镁过多症,心律失常
霉菌性外阴炎,瘙痒
霉菌性外阴炎,尿频伴尿急和尿痛
霉菌性外阴炎,溃疡
霉菌性外阴炎,婴幼儿外阴疼痛
霉菌性外阴炎,念珠菌感染
帽状腱膜下脓肿,前额头痛
帽状腱膜下脓肿,脓毒性血症或多发性迁徙性脓肿
帽状腱膜下脓肿,脑实质的浸润
帽状腱膜下脓肿,头痛
帽状腱膜下脓肿,淋巴结肿大
毛石肠梗阻综合征,腹痛
毛石肠梗阻综合征,恶心与呕吐
毛石肠梗阻综合征,血运障碍
毛石肠梗阻综合征,停止排气
毛石肠梗阻综合征,原发性便秘
毛舌,镜面舌
毛舌,舌乳头消失
毛舌,舌两侧边缘毛状白斑
毛舌,舌干苔厚
毛舌,口齿含糊
毛囊炎,囊肿
毛囊炎,瘙痒
毛囊炎,溃疡
毛囊炎,结节
毛囊炎,脓疱
毛发上皮瘤,发热伴有皮疹
毛发上皮瘤,结节性硬化
毛发上皮瘤,毛发干枯
毛发上皮瘤,上唇附近，鼻旁沟和眼睑的丘疹或结节
毛发上皮瘤,毛发异常
毛发红糠疹,毛发干燥易断
毛发红糠疹,鳞屑
毛发红糠疹,斑疹
毛发红糠疹,结节
毛发红糠疹,疱疹
慢性硬脑膜外血肿,瘀血积聚
慢性硬脑膜外血肿,恶心与呕吐
慢性硬脑膜外血肿,瘫痪
慢性硬脑膜外血肿,腹壁反射减弱或消失
慢性硬脑膜外血肿,发作性眩晕
慢性细菌性前列腺炎,脓性分泌物
慢性细菌性前列腺炎,血精
慢性细菌性前列腺炎,尿道烧灼感
慢性细菌性前列腺炎,膀胱膨隆
慢性细菌性前列腺炎,膀胱残余尿量增多
慢性输卵管卵巢炎,盆腔脓肿
慢性输卵管卵巢炎,盆腔包块
慢性输卵管卵巢炎,月经不调
慢性输卵管卵巢炎,继发性不孕
慢性输卵管卵巢炎,月经发黑
慢性上颌窦炎,牙槽突型
慢性上颌窦炎,颌骨呈“扇形”骨质破坏
慢性上颌窦炎,颌下腺导管口有咸味或脓性分泌物排出
慢性上颌窦炎,晕厥
慢性上颌窦炎,头痛
慢性筛窦炎,呼吸异常
慢性筛窦炎,头痛
慢性筛窦炎,鼻溢液
慢性筛窦炎,嗅觉障碍
慢性筛窦炎,头晕
慢性肉芽肿病,肉芽肿
慢性肉芽肿病,进行性肉芽性溃疡坏死
慢性肉芽肿病,皮肤的非干酪性肉芽肿
慢性肉芽肿病,异型网织细胞
慢性肉芽肿病,单发性坚实性结节
慢性皮肤粘膜念珠菌,鳞屑
慢性皮肤粘膜念珠菌,疱疹
慢性皮肤粘膜念珠菌,消瘦
慢性皮肤粘膜念珠菌,念珠菌感染
慢性皮肤粘膜念珠菌,皮肤粘膜红紫
慢性脓胸,渗出性胸水
慢性脓胸,胸膜钙化
慢性脓胸,胸膜摩擦音
慢性脓胸,吸气时胸口痛
慢性脓胸,右胸痛
慢性淋巴细胞性白血,消瘦
慢性淋巴细胞性白血,容易发生青肿
慢性淋巴细胞性白血,反复感冒
慢性淋巴细胞性白血,白血病细胞浸润
慢性淋巴细胞性白血,疲劳
慢性粒细胞性白血病,血小板增多
慢性粒细胞性白血病,鼻子颜色苍白
慢性粒细胞性白血病,胸骨后不适
慢性粒细胞性白血病,皮肤浸润
慢性粒细胞性白血病,骨髓象改变
慢性泪腺炎,红眼
慢性泪腺炎,泪溢
慢性泪腺炎,眼痛
慢性泪腺炎,进食流泪
慢性泪腺炎,泪腺发炎
慢性化脓性腮腺炎,脓疱
慢性化脓性腮腺炎,囊肿
慢性化脓性腮腺炎,腮腺区肿大
慢性化脓性腮腺炎,腮腺肿胀
慢性化脓性腮腺炎,腮腺无痛性肿块
慢性额窦炎,神经痛
慢性额窦炎,头痛
慢性额窦炎,鼻溢液
慢性额窦炎,额部疼痛
慢性额窦炎,晨起前额疼，午后减轻
慢性蝶窦炎,眩晕
慢性蝶窦炎,头痛
慢性蝶窦炎,鼻溢液
慢性蝶窦炎,神经痛
慢性单纯性咽炎,咽喉干燥充血
慢性单纯性咽炎,咽喉部充血
慢性单纯性咽炎,咽喉炎
慢性单纯性咽炎,咽部粘膜弥漫充血
慢性单纯性咽炎,会厌炎
慢性单纯外伤性腰腿,身痛
慢性单纯外伤性腰腿,产育过多后腰痛
慢性单纯外伤性腰腿,腰酸背痛
慢性单纯外伤性腰腿,劳累时腰部酸痛或胀痛
慢性单纯外伤性腰腿,伤口结疤
脉络膜裂伤,铺路石样变性
脉络膜裂伤,中心暗点或弓形暗点
脉络膜裂伤,前房色素沉积    
脉络膜裂伤,眼痛
脉络膜裂伤,眼球突出
局限性骨脓肿,脓毒性血症或多发性迁徙性脓肿
局限性骨脓肿,身痛
局限性骨脓肿,发热
局限性骨脓肿,长骨肿胀疼痛
磨损,溃疡
磨损,牙齿异常
磨损,牙的咀嚼磨损
膜性肾小球肾炎,红细胞畸形
膜性肾小球肾炎,肾小球滤过率下降
膜性肾小球肾炎,肾区叩击痛
膜性肾小球肾炎,体内水钠潴留
膜性肾小球肾炎,慢性肾衰竭
面神经炎,味觉性流泪
面神经炎,麻痹
面神经炎,面肌及颈肌紧张
面神经炎,感觉障碍
面神经炎,不能眨眼
面神经损伤,眼睑闭合不全
面神经损伤,早上起床突然发现面颊动作不灵或歪斜
面神经损伤,进食流泪
面神经损伤,怪笑
面神经损伤,感觉障碍
面神经瘤,肢体远侧常有麻痛
面神经瘤,耳鸣
面神经瘤,神经纤维过度生长
面神经瘤,面纹消失
面神经瘤,面部麻木
面肌痉挛,进食流泪
面肌痉挛,易变性痉挛
面肌痉挛,不能持续睁眼
面肌痉挛,口角歪斜，无法说话
面肌痉挛,断续的肌收缩
面部粟粒性狼疮,粟粒性结核
面部粟粒性狼疮,毛囊角栓
面部粟粒性狼疮,鳞屑
面部粟粒性狼疮,结节
面部粟粒性狼疮,丘疹
迷路震荡,眼球震颤
迷路震荡,耳痛
迷路震荡,耳鸣
迷路震荡,听力减退
迷路震荡,眩晕
蹄铁形肾,身痛
蹄铁形肾,便秘
蹄铁形肾,腹痛
尺骨上1/3骨折合,身痛
尺骨上1/3骨折合,发热
肠气肿综合征,肠囊性积气
肠气肿综合征,腹痛
肠气肿综合征,腹泻
肠气肿综合征,气上沖心
煤气中毒,溴疹
煤气中毒,颜面充血呈樱桃红色
煤气中毒,胸痛
煤气中毒,恶心与呕吐
煤气中毒,呼吸异常
迷路炎,味觉性流泪
迷路炎,麻痹
迷路炎,晕车
迷路炎,恶心与呕吐
迷路炎,眩晕
麻痹性斜视,肌性肌无力
麻痹性斜视,眼球不能随意动
麻痹性斜视,疲劳
麻痹性斜视,视力障碍
麻痹性斜视,眼皮下垂
脉络膜黑色素瘤,眼球不能随意动
脉络膜黑色素瘤,毛细血管扩张症
脉络膜黑色素瘤,眼痛
脉络膜黑色素瘤,发热
脉络膜黑色素瘤,视力障碍
慢性泪囊炎,筛窦泪囊瘘
慢性泪囊炎,进食流泪
慢性泪囊炎,烂眼边
慢性泪囊炎,鼻溢液
慢性泪囊炎,泪溢
脉络膜炎,铺路石样变性
脉络膜炎,直肠危象
脉络膜炎,耀光感
脉络膜炎,眼色素膜炎
脉络膜炎,中心暗点或弓形暗点
慢性闭角型青光眼,眼压突然迅速升高
慢性闭角型青光眼,眼压升高
慢性闭角型青光眼,青光眼斑
慢性闭角型青光眼,与脉搏相一致的眼球跳动
慢性闭角型青光眼,虹膜节段性萎缩
霉菌性阴道炎,外阴下坠感
霉菌性阴道炎,霉菌感染
霉菌性阴道炎,白带增多
霉菌性阴道炎,阴道粘连甚至闭锁
霉菌性阴道炎,阴道流血
慢性心力衰竭,肺栓塞
慢性心力衰竭,平卧呼吸困难
慢性心力衰竭,抗感染能力下降
慢性心力衰竭,肾病性浮肿面容
慢性心力衰竭,高钠血症
慢性肺源性心脏病,心脏增大
慢性肺源性心脏病,呼吸衰竭
慢性肺源性心脏病,呼吸异常
慢性肺源性心脏病,咳痰
慢性肺源性心脏病,咳嗽
慢性化脓性胸膜炎,胸廓塌陷
慢性化脓性胸膜炎,胸膜毛细血管通透性增加
慢性化脓性胸膜炎,胸痛伴呼吸困难
慢性化脓性胸膜炎,左胸痛
慢性化脓性胸膜炎,胸膜休克
慢性缩窄性心包炎,肝肿大
慢性缩窄性心包炎,肺含水量增加
慢性缩窄性心包炎,胸腔积液
慢性缩窄性心包炎,胸痛
慢性缩窄性心包炎,恶心与呕吐
慢性支气管炎,呼吸音粗糙
慢性支气管炎,老人剧烈咳嗽
慢性支气管炎,咳嗽伴哮鸣音
慢性支气管炎,冬春季的慢性咳嗽咳痰和喘息
慢性支气管炎,纤毛结构缺陷
麻疹样红斑型药疹,皮质滤泡萎缩
麻疹样红斑型药疹,痱疹样皮疹
麻疹样红斑型药疹,真皮损害
麻疹样红斑型药疹,剧痒
麻疹样红斑型药疹,蔷薇疹样皮疹
咽异感症,咽喉部充血
咽异感症,咽部粘膜弥漫充血
咽异感症,喉部堵塞感
咽异感症,咽部有异物感
慢性扁桃体炎,口周出现放射性沟纹    
慢性扁桃体炎,扁桃体充血
慢性扁桃体炎,腭部可见小出血点
慢性扁桃体炎,增殖体肥大
慢性扁桃体炎,环咽部运动障碍
慢性喉炎,咽喉疼痛
慢性喉炎,讷吃
慢性喉炎,咳声嘶哑
慢性喉炎,口咽异物
慢性喉炎,喉部刺痛
膜性口炎,口腔念珠菌感染    
膜性口炎,口痛
膜性口炎,微炎症状态
膜性口炎,口淡无味
膜性口炎,粘膜充血
慢性单纯性鼻炎,鼻粘膜肿胀
慢性单纯性鼻炎,鼻塞
慢性单纯性鼻炎,黏膜损害
慢性单纯性鼻炎,鼻溢液
慢性单纯性鼻炎,鼻屎多
慢性肥厚性鼻炎,鼻翼厚
慢性肥厚性鼻炎,挖鼻孔
慢性肥厚性鼻炎,鼻端出火
慢性肥厚性鼻炎,鼻孔干疼
慢性肥厚性鼻炎,鼻前庭囊肿
慢性干燥性鼻炎,鼻干
慢性干燥性鼻炎,回吸性涕血
慢性干燥性鼻炎,两眼干涩
慢性干燥性鼻炎,口干舌燥
慢性干燥性鼻炎,鼻黏膜和鼻甲萎缩
慢性化脓性鼻窦炎,侧卧时位于下侧鼻腔出现鼻塞
慢性化脓性鼻窦炎,微炎症状态
慢性化脓性鼻窦炎,鼻脓涕有臭味
慢性化脓性鼻窦炎,鼻分泌物增多
慢性化脓性鼻窦炎,粘膜充血
慢性腹泻,腹满
慢性腹泻,寒性体质
慢性腹泻,粪便脓血
慢性腹泻,爆发性水泻
慢性腹泻,排水样血性大便
慢性胆管炎,慢性面容
慢性胆管炎,突发性绞痛
慢性胆管炎,胆绞痛
慢性胆管炎,腹痛
慢性胆管炎,黄疸
门静脉高压症,脾肿大
门静脉高压症,呕血与黑便
门静脉高压症,腹水
门静脉高压症,腹壁静脉怒张
门静脉高压症,胃肠道淤血
末梢神经炎,多发性神经炎
末梢神经炎,感觉障碍
末梢神经炎,神经束损伤断裂
末梢神经炎,维生素B1缺乏
末梢神经炎,指鼻不准
泌乳素瘤,骨质疏松
泌乳素瘤,脂肪过多
泌乳素瘤,男性不育
泌乳素瘤,男性乳房大
泌乳素瘤,毛发异常
木薯中毒,腹痛
木薯中毒,恶心与呕吐
木薯中毒,腹泻
木薯中毒,昏迷
木薯中毒,眩晕
棉子中毒,昏迷
棉子中毒,烦躁不安
棉子中毒,流涎
棉子中毒,腹痛
棉子中毒,便秘
麻风病,颜面受累时褶皱加深形成“狮面”
麻风病,黏膜稍苍白
麻风病,足底溃疡
麻风病,眉毛外侧脱落稀疏而细
麻风病,关节疼痛
母儿血型不合溶血病,黄疸
母儿血型不合溶血病,脾肿大
母儿血型不合溶血病,肝肿大
母儿血型不合溶血病,水肿
母儿血型不合溶血病,母婴ABO血型不合
母乳性黄疸,胆红素异常增高
母乳性黄疸,胆红素升高
母乳性黄疸,黄疸
母乳性黄疸,新生儿母乳喂养后出现黄疸
母乳性黄疸,无瘙痒，无肝胆疾病的皮肤黄染
梅毒性心血管病,主动脉环扩张
梅毒性心血管病,心慌气短
梅毒性心血管病,梅毒恐怖
梅毒性心血管病,主动脉窦破裂
梅毒性心血管病,胸骨后不适
麻疹,脾肿大
麻疹,肝肿大
麻疹,恶心与呕吐
麻疹,食欲异常
麻疹,发热
弥散性血管内凝血,血液改变
弥散性血管内凝血,全身各脏器血流缓慢
弥散性血管内凝血,充血
弥散性血管内凝血,休克
弥散性血管内凝血,凝血因子功能的障碍
慢性铅中毒,指、趾甲显现苍白痕或脱落
慢性铅中毒,咽喉干燥及灼热感
慢性铅中毒,口腔幻触
慢性铅中毒,大便干结呈算盘珠状
慢性铅中毒,肢体远端出现腕垂踝垂
慢性淋巴结炎,淋巴结肿大
慢性淋巴结炎,咽炎、舌炎、龈炎
慢性淋巴结炎,腋部肿块
慢性淋巴结炎,腋窝痛
慢性淋巴结炎,淋巴结退化
慢性心功能不全,肺郁血
慢性心功能不全,肺源性心脏衰竭
慢性心功能不全,虚脉
慢性心功能不全,面部水肿
慢性心功能不全,气喘
磨牙,牙移位
磨牙,白天不自觉地将牙咬紧
磨牙,齿龈炎
磨牙,磨牙
磨牙,咬嘴唇或舌
面瘫,面容失认
面瘫,早上起床突然发现面颊动作不灵或歪斜
面瘫,舌偏斜
面瘫,耳后疼痛
面瘫,不能眨眼
慢性阻塞性肺疾病,咳嗽伴体重减轻
慢性阻塞性肺疾病,屏气时间缩短
慢性阻塞性肺疾病,肺通气一血流比例失调
慢性阻塞性肺疾病,肺弥散功能障碍
慢性阻塞性肺疾病,慢性咳嗽
咽部异感症,咽异感症
咽部异感症,咽喉干燥充血
咽部异感症,舌口及咽部烧灼感
毛圆线虫病,贫血
毛圆线虫病,腹痛
湄公血吸虫病,脾肿大
湄公血吸虫病,肝肿大
湄公血吸虫病,腹痛
猫抓病,帕里诺眼-腺综合征
猫抓病,脾肿大
猫抓病,肝肿大
猫抓病,淋巴结肿大
泌尿生殖系支原体感,外阴痛
泌尿生殖系支原体感,瘙痒
泌尿生殖系支原体感,发热
泌尿生殖系支原体感,尿频伴尿急和尿痛
泌尿生殖系支原体感,泌尿系统感染
马尔堡病毒病,惊厥
马尔堡病毒病,关节疼痛
马尔堡病毒病,恶心与呕吐
马尔堡病毒病,腹泻
马尔堡病毒病,昏迷
门静脉血栓形成,浅表或深部静脉反复血栓形成
门静脉血栓形成,局部静脉压痛
门静脉血栓形成,血栓肌化
门静脉血栓形成,慢性静脉功能不全
门静脉血栓形成,静脉栓塞
耳源性脑积水,烧灼性疼痛
耳源性脑积水,恶心与呕吐
耳源性脑积水,头痛
耳源性脑积水,视力障碍
耳源性脑积水,腹壁反射减弱或消失
颌面部淋巴管瘤,颌下腺导管口有咸味或脓性分泌物排出
颌面部淋巴管瘤,颌骨呈“扇形”骨质破坏
颌面部淋巴管瘤,瘤块压迫
颌面部淋巴管瘤,面部畸型
颌面部淋巴管瘤,一侧颜面肥大
急性脓胸,呼吸困难
急性脓胸,乏力
急性脓胸,持续性胸部疼痛或模糊的背部疼痛
急性脓胸,胸廓异常
急性脓胸,脓肿破入胸腔
皮肤念珠菌病,念珠菌感染
皮肤念珠菌病,出汗异常
皮肤念珠菌病,结节
皮肤念珠菌病,丘疹
皮肤念珠菌病,口腔难愈的白色片状物
疟疾,间歇热
疟疾,浑身忽冷忽热
疟疾,恶寒
疟疾,寒战
疟疾,发热伴寒战
女子颜面黑变病,色素异常
女子颜面黑变病,瘙痒
女子颜面黑变病,皮肤有瘙痒抓痕
女子颜面黑变病,色素斑
脓性指头炎,指甲夹伤
脓性指头炎,弹钢琴指(趾)征
脓性指头炎,头痛
脓性指头炎,囊肿
脓性指头炎,脓疱
农药中毒,潜在中毒
农药中毒,毒蕈碱样症状
农药中毒,肝衰竭
农药中毒,咽喉及口内刺痒
农药中毒,对光反射迟钝
颞叶肿瘤,共济失调
颞叶肿瘤,癫痫和癫痫样发作
颞叶肿瘤,梦幻觉
颞叶肿瘤,用口探索物体
颞叶肿瘤,言语功能的部分丧失
颞下间隙感染,蜂窝组织炎
颞下间隙感染,口痛
颞下间隙感染,口腔痛
颞下间隙感染,发热
颞下颌关节脱位,关节疼痛
颞下颌关节脱位,口腔痛
颞下颌关节脱位,吞咽困难
颞下颌关节脱位,下颌角外翻
颞下颌关节脱位,下颌后缩
颞间隙感染,口痛
颞间隙感染,头痛
颞间隙感染,口腔痛
颞间隙感染,咽痛
颞间隙感染,水肿
颞骨岩部炎,身痛
颞骨岩部炎,眼球不能随意动
尿失禁,逼尿肌反射亢进
尿失禁,抗利尿激素(ADH)分泌增多
尿失禁,产后大便失禁
尿失禁,大小便潴留
尿失禁,肾异位伴随输尿管异位
尿路感染,精囊增大
尿路感染,身痛
尿路感染,高血压
尿路感染,复杂性尿路感染
尿路感染,反复不愈的感染
尿道下裂,尿道瓣
尿道下裂,遗尿
尿道下裂,肾异位伴随输尿管异位
尿道下裂,泌尿道破裂
尿道下裂,泌尿道狭窄
尿道狭窄,排尿困难及尿潴留
尿道狭窄,尿道口粘连
尿道狭窄,尿分叉
尿道狭窄,急性尿潴留
尿道狭窄,儿童尿床
尿道损伤,尿失禁
尿道损伤,遗尿
尿道损伤,尿分叉
尿道损伤,尿道流血
尿道损伤,泌尿道破裂
尿道上裂,尿失禁与遗尿
尿道上裂,儿童尿床
尿道上裂,尿外渗
尿道上裂,泌尿道狭窄
尿道上裂,泌尿道破裂
拟除虫菊类农药中毒,瞳孔固定
拟除虫菊类农药中毒,腹痛
拟除虫菊类农药中毒,恶心与呕吐
拟除虫菊类农药中毒,昏迷
拟除虫菊类农药中毒,头痛
尼曼－匹克氏病,脾肿大
尼曼－匹克氏病,肝肿大
尼曼－匹克氏病,恶心与呕吐
尼曼－匹克氏病,消瘦
尼曼－匹克氏病,呼吸异常
脑蛛网膜下腔出血,脑功能不全
脑蛛网膜下腔出血,昏迷
脑蛛网膜下腔出血,感觉障碍
脑蛛网膜下腔出血,前额头痛
脑蛛网膜下腔出血,出血倾向
脑震荡,近事遗忘现象
脑震荡,中度昏迷
脑震荡,震荡性神经受累
脑震荡,头部撞伤
脑震荡,恶心与呕吐
脑血栓形成,脑干梗塞
脑血栓形成,脑沟变宽
脑血栓形成,出血性梗死
脑血栓形成,感觉障碍
脑血栓形成,瘫痪
脑性瘫痪,瘫痪
脑性瘫痪,下肢呈剪刀步态
脑性瘫痪,上行性皮肤麻木
脑性瘫痪,久病亏损
脑性瘫痪,跖反射伸性
脑外伤所致精神障碍,脑沟变宽
脑外伤所致精神障碍,幻听
脑外伤所致精神障碍,认知功能障碍
脑外伤所致精神障碍,被害妄想
脑外伤所致精神障碍,精神活性物质所致精神障碍
脑损伤后综合征,眩晕
脑损伤后综合征,头痛
脑损伤后综合征,拥抱反射消失
脑损伤后综合征,脑衰弱综合征
脑损伤后综合征,运动性失语
脑室炎,前额头痛
脑室炎,侧脑室增宽 
脑室炎,发作前精神障碍
脑室炎,昏迷
脑室炎,发热
脑室内出血,四叠体受压
脑室内出血,脑室出血
脑室内出血,桥脑出血
脑室内出血,丘脑出血
脑室内出血,内出血
脑膜炎,新生儿抽搐
脑膜炎,前额头痛
脑膜炎,前囟饱满
脑膜炎,脑沟变宽
脑膜炎,脑功能不全
脑脊液漏,低颅压综合征
脑脊液漏,脑膜刺激征
脑脊液漏,眩晕
脑脊液漏,头痛
脑脊液漏,脑脊液循环通路
脑肝肾综合征,肝肿大
脑肝肾综合征,肝功能受损
脑肺吸虫病,后脑勺疼
脑肺吸虫病,无运动或感觉障碍的运用不能
脑肺吸虫病,大脑性共济失调
脑肺吸虫病,脑占位性病变
脑肺吸虫病,呼吸抑制
脑动脉硬化症,头晕
脑动脉硬化症,脑细胞出现营养不良性蜕变
脑动脉硬化症,睁眼昏迷
脑动脉硬化症,血管硬化
脑动脉硬化症,嗜睡
脑挫裂伤,外伤性遗忘症
脑挫裂伤,吸吮反射阳性
脑挫裂伤,运动性失语
脑挫裂伤,脑衰弱综合征
脑挫裂伤,发作时精神障碍
囊性纤维化,水肿
囊性纤维化,恶心与呕吐
囊性纤维化,气体弥散障碍
囊性纤维化,肝肿大
囊性纤维化,膀胱纤维化
男性乳房肥大症,睾丸发育不全
男性乳房肥大症,男性乳房大
男性乳房肥大症,乳房肥大
男性乳房肥大症,乳腺小叶增生
男性不育症,死精子过多
男性不育症,精子凝集
男性不育症,雄激素过少
男性不育症,隐睾
男性不育症,纤毛结构缺陷
男生殖系结核,粟粒性结核
男生殖系结核,男性不育
男生殖系结核,发热
钠过多,心脏震颤
钠过多,咳嗽
钠过多,昏迷
钠过多,头痛
钠过多,高血压
内隐斜,头痛
内隐斜,眼痛
内隐斜,视力障碍
内分泌性眼球突出,眼球突出
内分泌性眼球突出,甲状腺肿
内分泌性眼球突出,眼痛
内分泌性眼球突出,眼疲劳
内分泌性眼球突出,眼胀
下颌下隙感染,下颌前突
下颌下隙感染,下颌角外翻
下颌下隙感染,下颌后缩
下颌下隙感染,颌下腺导管口有咸味或脓性分泌物排出
下颌下隙感染,关节疼痛
外伤后脑膨出,发热
外伤后脑膨出,脑脓肿
传染性脓疱病,水泡
传染性脓疱病,全身过敏和发热皮疹关节痛
传染性脓疱病,大疱（含脓性液体）
传染性脓疱病,溃疡
传染性脓疱病,脓疱
粘液表皮样癌,溃疡
粘液表皮样癌,结节
粘液表皮样癌,淋巴结肿大
粘液表皮样癌,实脉
粘液表皮样癌,体重减轻
奶癣,婴儿湿疹结痂
奶癣,"红斑(边界清楚,高出皮肤)"
奶癣,丘疹
奶癣,斑疹
奶癣,发热
遗尿症,尿失禁与遗尿
遗尿症,小儿遗尿
慢性化脓性中耳炎,血性耳分泌物
慢性化脓性中耳炎,耳内闭塞感
慢性化脓性中耳炎,咽鼓管堵塞
慢性化脓性中耳炎,耳流脓
慢性化脓性中耳炎,耳源性眩晕
颞骨骨折,恶心与呕吐
颞骨骨折,眼球震颤
颞骨骨折,眩晕
颞骨骨折,听力减退
颞骨骨折,纵行骨折
脑动静脉畸形,脑叶出血 
脑动静脉畸形,动静脉短路现象
脑动静脉畸形,肺动静脉瘘
脑动静脉畸形,脑血管动静脉畸形
脑动静脉畸形,脑血管痉挛
脑结核瘤,持续性弛张热
脑结核瘤,颧红盗汗
脑结核瘤,呼吸反射调节受损
脑结核瘤,肉芽肿
脑结核瘤,单发性坚实性结节
脑脓肿,发作时精神障碍
脑脓肿,发热伴寒战
脑脓肿,“多音律”心音
脑脓肿,触诊无肺动脉关闭感
脑脓肿,视网膜水肿
脑疝,叹息样呼吸
脑疝,记忆力障碍
脑疝,呼吸抑制
脑疝,脑电波的改变
脑疝,高颅压综合征
脑瘤,心动过缓
脑瘤,反复发作性头痛
脑瘤,强硬舌
脑瘤,Q-T间期延长
脑瘤,深昏迷
脑出血,舌位于口腔底不能外伸
脑出血,拥抱反射消失
脑出血,弥漫性头痛
脑出血,深昏迷
脑出血,颅脑损伤后头痛
脑囊虫病,癫痫和癫痫样发作
脑囊虫病,头痛
脑栓塞,卵圆窝未闭
脑栓塞,深昏迷
脑栓塞,继发性纤溶功能增强
脑栓塞,血栓脱落
脑栓塞,体肺循环栓塞
脑血栓,牵引性头痛
脑血栓,血栓扩展
脑血栓,高粘滞综合征
脑血栓,饭后困倦
脑血栓,顽固性呃逆
蛛网膜下腔出血,小脑失调症
蛛网膜下腔出血,蛛网膜粘连
蛛网膜下腔出血,桥脑出血
蛛网膜下腔出血,丘脑出血
蛛网膜下腔出血,浅昏迷
难产,软产道异常
难产,扁平骨盆
难产,产后发热
难产,产后自汗盗汗
难产,先兆子宫破裂
急性化脓性乳腺炎,胀痛
急性化脓性乳腺炎,烧灼性疼痛
急性化脓性乳腺炎,乳房红肿热痛
急性化脓性乳腺炎,乳头侵蚀
急性化脓性乳腺炎,乳头发炎
脓肿,囊肿
脓肿,溃疡
脓肿,结节
脓肿,脓疱
颞下颌关节紊乱综合,习惯性下巴脱臼
颞下颌关节紊乱综合,下颌角外翻
颞下颌关节紊乱综合,下颌后缩
颞下颌关节紊乱综合,颌突畸形
颞下颌关节紊乱综合,颌骨呈“扇形”骨质破坏
尿道癌,鲜红色乳头状赘生物突向尿道腔
尿道癌,尿道的条索状肿块
尿道癌,尿道局部肿胀
尿道癌,尿道变粗变硬
尿道癌,尿道口出现结节状或红色的出血性肿物
尿道与阴茎结核,性欲减退
尿道与阴茎结核,精子存活率低
尿道与阴茎结核,感染性发热
尿道与阴茎结核,阴茎表浅性溃疡
尿道与阴茎结核,颧红盗汗
尿路梗阻,内脏梗阻
尿路梗阻,尿道瓣
尿路梗阻,输尿管梗阻
尿路梗阻,上尿路结构和功能损害
尿路梗阻,血清钠增高
尿道炎,浆液脓性分泌物
尿道炎,女阴会阴出现红色结痂斑块
尿道炎,间歇性血尿
尿道炎,尿频伴尿急和尿痛
尿道炎,尿道刺痒
尿道创伤,血红蛋白尿
尿道创伤,血尿
尿道创伤,尿失禁与遗尿
尿道创伤,泌尿道破裂
尿道创伤,泌尿道狭窄
尿瘘,尿瘘
尿瘘,儿童尿床
尿瘘,尿道瘘
尿瘘,膀胱阴道瘘
尿瘘,尿失禁与遗尿
诺沃克类病毒胃肠炎,恶心与呕吐
诺沃克类病毒胃肠炎,腹泻
诺沃克类病毒胃肠炎,身痛
诺沃克类病毒胃肠炎,食欲异常
诺沃克类病毒胃肠炎,头痛
蛲虫病,肛门湿疹瘙痒
蛲虫病,小儿的异嗜症状
蛲虫病,肛门夜间奇痒
蛲虫病,指甲出现条纹或斑点
蛲虫病,小儿夜惊咬指
肾及输尿管结石,间歇性血尿
肾及输尿管结石,尿钙增多
肾及输尿管结石,平滑肌痉挛
肾及输尿管结石,下腹局部疼痛
肾及输尿管结石,输尿管痉挛
尿崩症,高钠血症
尿崩症,多尿
尿崩症,肾上腺皮质激素不足
尿崩症,肾性尿崩
尿崩症,尿崩症
肾积水,身痛
肾积水,恶心与呕吐
肾积水,脓尿
肾积水,少尿
肾积水,多尿
脓疱疮,大疱（含脓性液体）
脓疱疮,丘疹
脓疱疮,脓疱
脓疱疮,痛性溃疡和渗出恶臭的黄绿色脓液
脓疱疮,软组织感染
男性更年期综合症,缺乏性的兴趣和性活动的要求
男性更年期综合症,身体“福态”
男性更年期综合症,潮红潮热
男性更年期综合症,浑身忽冷忽热
男性更年期综合症,男子性功能障碍
脑脊液,脑脊液蛋白量增高
